study_id,cohort,year,country,actual_n,timepoint,timepoint_sd,group,variable,mean_pre,sd_pre,timepoint_min,mean,sd,change,change_sd,ri,yi,vi
Harput_2020,Harput_2020,2020,Turkey,91,3,NA,Group 1,Body mass (kg),79.6,13.7,1,79.8,13.8,NA,NA,0.9,0.0025094116054257,6.542166075891955e-5
Harput_2020,Harput_2020,2020,Turkey,91,6,NA,Group 1,Body mass (kg),79.6,13.7,1,79.8,13.7,NA,NA,0.9,0.0025094116054257,6.494226813109742e-5
Järvelä _2000,Järvelä _2000,2000,Finland,91,0,NA,Group 1,Body mass (kg),74.5,12.8,0,74.5,12.8,NA,NA,0.9,0,6.487778245807161e-5
Järvelä _2000,Järvelä _2000,2000,Finland,91,84.4,0.8,Group 1,Body mass (kg),74.5,12.8,0,77.9,14.2,NA,NA,0.9,0.04462682749118881,7.003773623328853e-5
Janani_2020,Janani_2020,2020,India,1250,3,1,combined,Body mass (kg),64.8,13,3,64.8,13,NA,NA,0.9,0,6.439567139155616e-6
Janani_2020,Janani_2020,2020,India,1250,3,1,combined,BMI,25.4,7.2,3,25.4,7.2,NA,NA,0.9,0,1.2856345712691412e-5
Janani_2020,Janani_2020,2020,India,1208,18.2,4,combined,Body mass (kg),64.8,13,3,67.9,12.9,NA,NA,0.9,0.04673043120642153,6.40389531344024e-6
Janani_2020,Janani_2020,2020,India,1208,18.2,4,combined,BMI,25.4,7.2,3,26.8,7.8,NA,NA,0.9,0.05365271349232022,1.3706652198098446e-5
Karikis_2016,Karikis_2016,2016,USA,78,0,NA,combined,BMI,25.2,3.1,0,25.2,3.1,NA,NA,0.9,0,3.880232054835229e-5
Karikis_2016,Karikis_2016,2016,USA,85,64,4.2,combined,BMI,25.2,3.1,0,25.3,2.8,NA,NA,0.9,0.00396040121609691,3.382651465961092e-5
Lau_2024,Lau_2024,2024,USA,40,0,NA,Group 1,Body mass (kg),71.4,14.5,0,71.4,14.5,NA,NA,0.9,0,2.0620993495437385e-4
Lau_2024,Lau_2024,2024,USA,40,0,NA,Group 1,BMI,24.9,4.3,0,24.9,4.3,NA,NA,0.9,0,1.4911049821777068e-4
Lau_2024,Lau_2024,2024,USA,34,2,NA,Group 1,Body mass (kg),71.4,14.5,0,72.5,16.3,NA,NA,0.9,0.01528869251509033,2.8248695767395336e-4
Lau_2024,Lau_2024,2024,USA,34,2,NA,Group 1,BMI,24.9,4.3,0,25.2,5,NA,NA,0.9,0.01197619104671562,2.2101252989166291e-4
Lau_2024,Lau_2024,2024,USA,37,4,NA,Group 1,Body mass (kg),71.4,14.5,0,73.8,16.5,NA,NA,0.9,0.03306086226088799,2.5678254783873325e-4
Lau_2024,Lau_2024,2024,USA,37,4,NA,Group 1,BMI,24.9,4.3,0,25.7,5,NA,NA,0.9,0.03162318843051214,1.9452491248696897e-4
Lau_2024,Lau_2024,2024,USA,35,6,NA,Group 1,Body mass (kg),71.4,14.5,0,74.6,16.2,NA,NA,0.9,0.04384263786417631,2.5766601168571244e-4
Lau_2024,Lau_2024,2024,USA,35,6,NA,Group 1,BMI,24.9,4.3,0,25.9,4.8,NA,NA,0.9,0.03937516523483019,1.8744564541892713e-4
Lavender_2024,Lavender_2024,2024,USA,59,0,NA,Combined,BMI,27.1,6.7,0,27.1,6.7,NA,NA,0.9,0,2.0719964532811856e-4
Lavender_2024,Lavender_2024,2024,USA,22,6,NA,Combined,BMI,27.1,6.7,0,28.8,5.5,NA,NA,0.9,0.06084165925624506,5.730964850302386e-4
Lepley_2015,Lepley_2015,2015,USA,20,0,NA,Mixed,Body mass (kg),76.2,11.8,0,76.2,11.8,NA,NA,0.9,0,2.3980270182762583e-4
Lepley_2015,Lepley_2015,2015,USA,20,6.5,0.7,mixed,Body mass (kg),76.2,11.8,0,75.9,12.2,NA,NA,0.9,-0.00394477829101634,2.506415699175847e-4
Liao_2020,Liao_2020,2020,USA,37,6,NA,Group 1,BMI,24,2.5,6,24,2.5,NA,NA,0.9,0,5.865240240240238e-5
Liao_2020,Liao_2020,2020,USA,30,18,NA,Group 1,BMI,24,2.5,6,23.7,2.5,NA,NA,0.9,-0.01257878220686018,7.331158720409248e-5
