study_id,cohort,year,country,actual_n,timepoint,timepoint_sd,group,variable,mean_pre,sd_pre,timepoint_pre,timepoint_distance,mean,sd,change,change_sd,ri,yi,vi,yi_d,vi_d,sei_d
Macalpine_2019,Macalpine_2019,2019,USA,666,6,NA,Group 1,BMI Percentile,NA,NA,3,3,NA,NA,2.5966666666666667,5.497652983404396,0.9,NA,NA,NA,NA,NA
Macalpine_2019,Macalpine_2019,2019,USA,666,9,NA,Group 1,BMI Percentile,NA,NA,6,3,NA,NA,2.3,5.445648157885706,0.9,NA,NA,NA,NA,NA
Macalpine_2019,Macalpine_2019,2019,USA,666,12,NA,Group 1,BMI Percentile,NA,NA,9,3,NA,NA,1.83,5.334209246059941,0.9,NA,NA,NA,NA,NA
Macalpine_2019,Macalpine_2019,2019,USA,666,24,NA,Group 1,BMI Percentile,NA,NA,12,12,NA,NA,0.9733333333333333,5.579374852076623,0.9,NA,NA,NA,NA,NA
Mutsuzaki_2018,Mutsuzaki_2018,2018,Japan,90,0,NA,Combined,Body mass (kg),NA,NA,NA,NA,65,11.3,NA,NA,0.9,NA,NA,NA,NA,NA
Mutsuzaki_2018,Mutsuzaki_2018,2018,Japan,35,69.9,28.2,Combined,Body mass (kg),65,11.3,0,69.9,65.7,11.2,NA,NA,0.9,0.01071165559492781,1.6967316532328432e-4,1.5324256931227196e-4,3.4726323794524425e-8,1.8635000347336843e-4
Moksnes_2013,Moksnes_2013,2013,Norway,34,11.7,11.5,Group 1,Body mass (kg),NA,NA,NA,NA,47.3,13.8,NA,NA,0.9,NA,NA,NA,NA,NA
Moksnes_2013,Moksnes_2013,2013,Norway,34,11.7,11.5,Group 1,BMI,NA,NA,NA,NA,19.7,3.7,NA,NA,0.9,NA,NA,NA,NA,NA
Moksnes_2013,Moksnes_2013,2013,Norway,34,23.7,NA,Group 1,Body mass (kg),47.3,13.8,11.7,12,53.7,15.7,NA,NA,0.9,0.1269027060169319,5.017690511919925e-4,0.010575225501410991,3.4845072999443924e-6,0.001866683502885369
Moksnes_2013,Moksnes_2013,2013,Norway,34,23.7,NA,Group 1,BMI,19.7,3.7,11.7,12,20.6,4,NA,NA,0.9,0.0446724400515926,2.1571446815508055e-4,0.0037227033376327164,1.4980171399658373e-6,0.0012239351044748398
Moksnes_2013,Moksnes_2013,2013,Norway,34,35.7,NA,Group 1,Body mass (kg),53.7,15.7,23.7,12.000000000000004,59.4,17.1,NA,NA,0.9,0.1008812248537801,4.956841718589322e-4,0.0084067687378150055,3.4422511934648046e-6,0.0018553304809291538
Moksnes_2013,Moksnes_2013,2013,Norway,34,35.7,NA,Group 1,BMI,20.6,4,23.7,12.000000000000004,21.4,4.8,NA,NA,0.9,0.038099846232270175,2.828858017105058e-4,0.0031749871860225136,1.9644847341007333e-6,0.0014016007755779582
